"Id","DeveloperName","NamespacePrefix","SobjectType"
"012g8000000rPCvAAM","Service_Visiting_Hours","FSL","FSL__Work_Rule__c"
"012g8000000rPCwAAM","Required_Resources_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPCxAAM","Max_Travel_From_Home_To_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPCyAAM","Match_Skills_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPCzAAM","Match_Fields_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPD0AAM","Match_Crew_Size_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPD1AAM","Match_Boolean_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPD2AAM","Gap_Rule_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPD3AAM","Objective_Skill_Level","FSL","FSL__Service_Goal__c"
"012g8000000rPD4AAM","Count_Rule","FSL","FSL__Work_Rule__c"
"012g8000000rPD5AAM","Field_Working_Locations","FSL","FSL__Work_Rule__c"
"012g8000000rPD6AAM","Excluded_Resources_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPD7AAM","Enhanced_Match_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPD8AAM","Trackable_Send_Definition","et4ae5","et4ae5__SendDefinition__c"
"012g8000000rPD9AAM","Send_Definition","et4ae5","et4ae5__SendDefinition__c"
"012g8000000rPDAAA2","Inactive","et4ae5","et4ae5__Automated_Send__c"
"012g8000000rPDBAA2","Queued_Send_Definition","et4ae5","et4ae5__SendDefinition__c"
"012g8000000rPDCAA2","SMS_Definition","et4ae5","et4ae5__SMSDefinition__c"
"012g8000000rPDDAA2","Queued_SMS_Definition","et4ae5","et4ae5__SMSDefinition__c"
"012g8000000rPDEAA2","Active","et4ae5","et4ae5__Automated_Send__c"
"012g8000000rPDFAA2","Capacity_Limit_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPDGAA2","Objective_Same_Site","FSL","FSL__Service_Goal__c"
"012g8000000rPDHAA2","Objective_Skill_Preferences","FSL","FSL__Service_Goal__c"
"012g8000000rPDIAA2","Master","#N/A","AccountPlan"
"012g8000000rPDJAA2","LSDO_Question","#N/A","Case"
"012g8000000rPDKAA2","Health_Care_Organization","#N/A","HealthcareProvider"
"012g8000000rPDLAA2","Health_Care_Provider","#N/A","HealthcareProvider"
"012g8000000rPDMAA2","SmplMgmt","#N/A","Product2"
"012g8000000rPDNAA2","Default_Task","#N/A","Task"
"012g8000000rPDOAA2","LSDO_PH_MSL_Visit","#N/A","Visit"
"012g8000000rPDPAA2","LSDO_PH_MSL_Visit","#N/A","ProviderVisit"
"012g8000000rPDQAA2","Product","#N/A","Product2"
"012g8000000rPDRAA2","Care_Program_Enrollee","#N/A","CareProgramEnrollee"
"012g8000000rPDSAA2","Master","#N/A","Product2"
"012g8000000rPDTAA2","SDO_Marketing_ParentCampaign","#N/A","Campaign"
"012g8000000rPDXAA2","ContractLifecycleManagement","#N/A","Contract"
"012g8000000wkiPAAQ","LSDO_IDN","#N/A","Account"
"012g8000000wljLAAQ","LSDO_MedTech_HealthcareFacility","#N/A","HealthcareFacility"
"012g8000000wnUJAAY","LSDO_Medtech_CodeSetBundle","#N/A","CodeSetBundle"
"012g8000000wptNAAQ","LSDO_MedTech_CodeSet","#N/A","CodeSet"
"012g8000000wr7BAAQ","LSOD_MedTech_Location","#N/A","Location"
"012g8000000wyS1AAI","LSDO_MedTech_Address","#N/A","Address"
"012g8000000x1rOAAQ","LSDO_MedTech_HealthcarePractitionerFacility","#N/A","HealthcarePractitionerFacility"
"012g8000000x5rhAAA","LSDO_MedTech_HealthcareProviderTaxonomy","#N/A","HealthcareProviderTaxonomy"
"012g8000000x7ezAAA","LSDO_MedTech_CareSpecialty","#N/A","CareSpecialty"
"012g8000000y8fRAAQ","LSDO_GPO","#N/A","Account"
"012g8000000yIEzAAM","LSDO_MedTech_Clinical_Case","#N/A","Visit"
"012g8000001RFAYAA4","LSDO_MT_Taxonomy_Classification","#N/A","CareTaxonomy"
"012g8000001RFAZAA4","LSDO_MT_Taxonomy_Grouping","#N/A","CareTaxonomy"
"012g8000001RFAaAAO","LSDO_MT_Taxonomy_Specialization","#N/A","CareTaxonomy"
